country,n_students,success_rate,math_score_mean,math_score_std
ESP,30800,0.7735714285714286,481.8654807954545,80.38719104791372
ARE,24600,0.5204878048780488,433.8298561219512,95.40214161739574
CAN,23073,0.7499241537728081,484.5220272092922,88.22483642686296
KAZ,19769,0.5806059992918206,446.01273215640646,82.91521607726824
IDN,13439,0.23677356946201356,379.03127822010566,61.4806527490429
AUS,13437,0.7427997320830543,487.16593694277,94.61740549197091
GBR,12972,0.7362010484119642,481.82222659574467,91.5208362911169
ARG,12111,0.31318635950788537,388.5489809677153,71.27754499494733
BRA,10798,0.2621781811446564,381.13654866641974,71.96291628112132
ITA,10552,0.7272554965883244,474.0337175890826,83.83874386706417
FIN,10239,0.7131555815997656,475.32395313995505,88.44065104450412
THA,8495,0.38234255444379045,414.58713478516773,90.61850844215328
CZE,8460,0.7801418439716312,499.3702698936171,92.82478297663063
BEL,8286,0.7719044170890659,494.0155359160029,92.3203532707287
PSE,7905,0.17811511701454774,364.6617301454775,59.858788465814825
COL,7804,0.31535110199897487,390.80081665812406,69.69710108162396
JOR,7799,0.14617258622900373,360.3071909090909,55.58076261277971
QAZ,7720,0.3818652849740933,398.3363618523316,79.83754878553744
QAT,7676,0.4194893173527879,411.989310825951,85.76717377616119
ROU,7364,0.5461705594785443,435.55026704236826,93.45750246231742
UZB,7293,0.17537364596188126,363.9094662690251,61.11061295791258
LTU,7257,0.7106242248863167,471.54377935786135,83.11233147264753
TUR,7250,0.6096551724137931,451.8850976965517,86.16007943038717
PHL,7193,0.14569720561657168,354.1668255526206,60.07770578763947
MYS,7069,0.4088272740132975,409.4915092658084,70.99890437144091
MNG,6999,0.47435347906843833,423.9253181597371,79.47169962865487
PER,6968,0.3412743972445465,394.15256621699194,73.31360513933834
SAU,6928,0.28666281755196305,389.20505232390303,61.10096149506709
DOM,6868,0.06581246359930111,339.82877939720447,49.2516557640122
MAR,6867,0.1600407747196738,363.36233186253094,56.61969651146093
CHE,6829,0.8083174696148777,506.45947006882415,92.0809927555481
PRT,6793,0.7272191962314147,475.5774839687914,84.29068687821321
FRA,6770,0.6861152141802068,468.2440119350074,90.89127709319614
SVN,6721,0.7083767296533254,471.7052422109805,83.43508006445909
SLV,6705,0.09500372856077555,345.1215754064131,54.13114577717485
URY,6618,0.4301903898458749,409.28727701722573,78.8429315862464
NOR,6611,0.6900620178490395,468.47831216154896,89.37025456790634
MKD,6610,0.3394856278366112,390.4986265506808,78.95848386885494
SGP,6606,0.9231002119285499,573.9839057372086,99.34498360491972
GEO,6583,0.3287255050888653,390.4614478657147,80.54219266676571
CHL,6488,0.5258939580764488,428.5560221794081,76.04837059729805
KOR,6454,0.8470715835140998,531.0930331887201,101.81735790764519
SRB,6413,0.5651021362856697,439.8169332917511,83.90833941424862
GRC,6403,0.540527877557395,433.54078606903016,78.54243682950562
EST,6392,0.8746871088861077,512.7133570556946,80.30227813880882
MEX,6288,0.33142493638676845,395.4058055820611,64.7795964792571
ISR,6251,0.6269396896496561,457.1238245720685,101.56883022176909
MDA,6235,0.44041700080192464,415.5239377706495,75.14024021180516
DNK,6200,0.7548387096774194,478.79859729032256,79.91335589721896
HUN,6198,0.7424975798644724,479.72655884156177,88.52003340876495
AUT,6151,0.772069582181759,490.87702037067146,88.17606054242975
HRV,6135,0.6743276283618582,462.98475929910353,84.03892381085859
ALB,6129,0.2463697177353565,368.25404764235606,78.22542529044459
DEU,6116,0.7210595160235448,477.7435169228254,90.20266818324883
CRI,6113,0.26419106821527893,384.3459398331425,62.015483586521874
BGR,6107,0.46422138529556245,418.3383755690192,91.80595797562538
SWE,6072,0.7308959156785244,482.42059744729903,91.63058605787806
VNM,6068,0.7267633487145683,468.83368103164145,79.59941336818444
KSV,6027,0.12742658038825286,352.4104765886843,57.73897097517613
POL,6011,0.8015305273664948,494.4545991349193,84.24971079009708
HKG,5907,0.8748941933299476,546.0300464872186,100.43616620641346
TAP,5857,0.828581184906949,533.8761279836094,108.60846284360835
SVK,5824,0.6912774725274725,468.620391981456,96.8353903697566
MNE,5793,0.40203694113585364,406.0052076644226,77.13028446883568
JPN,5760,0.8817708333333333,534.9294799652778,90.14148314256857
BRN,5576,0.5756814921090387,440.6654134863702,79.84066663833832
IRL,5569,0.8163045430059257,492.179588866942,76.40071999196347
LVA,5373,0.7833612506979342,482.5802651405174,75.66470713587769
KHM,5279,0.08391740860011365,327.4092933888994,67.46691742423549
GTM,5190,0.12620423892100194,345.55712924855493,65.134202135193
PRY,5084,0.13965381589299763,340.78028027143984,72.34294398751942
NLD,5046,0.7219579865239794,491.04093218390807,103.09642228009427
NZL,4682,0.7176420333190944,478.8743747543785,94.8350053858533
USA,4552,0.6469683655536028,462.80968554481547,91.12891265826586
PAN,4544,0.13380281690140844,353.4983263864437,59.45266334896348
MAC,4384,0.9222171532846716,552.0542690009124,88.76290127548998
QUR,3876,0.5952012383900929,444.3401412022704,83.89812884245721
JAM,3873,0.21920991479473276,371.4099119545572,66.43241233393665
ISL,3360,0.662797619047619,459.27331258928575,83.53692967205733
MLT,3127,0.6878797569555485,468.9976039974416,93.59580552344113
