probability_bin,n,mean_predicted_probability,observed_success_rate
"(7.316690000000001e-06, 6.93661e-05]",3000,5.1411613714610245e-05,0.0
"(6.93661e-05, 0.000101798]",3000,8.529273221385787e-05,0.0
"(0.000101798, 0.000144446]",3000,0.00012116118600800517,0.0
"(0.000144446, 0.000281278]",3000,0.00019661511165017362,0.0
"(0.000281278, 0.999317]",3000,0.4455625517431254,0.446
"(0.999317, 0.99993]",3000,0.9998504565292263,1.0
"(0.99993, 0.999945]",3000,0.9999382158595628,1.0
"(0.999945, 0.999955]",3000,0.9999502140237193,1.0
"(0.999955, 0.999965]",3000,0.9999599634267674,1.0
"(0.999965, 0.99999]",3000,0.9999718600080745,1.0
