feature,importance_mean,importance_std
math_success_level2,0.25709818161435216,0.003130500110439693
country_code,0.0,0.0
reading_success_level2,0.0,0.0
science_success_level2,0.0,0.0
success_all_three_level2,0.0,0.0
gender_raw,0.0,0.0
age,0.0,0.0
grade,0.0,0.0
immigrant_status,0.0,0.0
grade_repetition,0.0,0.0
math_ease,0.0,0.0
math_motivation,0.0,0.0
school_belonging,0.0,0.0
bullied_index,0.0,0.0
feeling_safe,0.0,0.0
math_self_efficacy,0.0,0.0
math_anxiety,0.0,0.0
parent_education_years,0.0,0.0
highest_parent_isei,0.0,0.0
ict_resources,0.0,0.0
home_possessions,0.0,0.0
escs,0.0,0.0
