risk_decile,n,mean_predicted_probability,observed_success_rate,min_predicted_probability,max_predicted_probability
1,3000,5.1411613714610245e-05,0.0,8.316691311004635e-06,6.935851169981449e-05
2,3000,8.529273221385787e-05,0.0,6.936697468171201e-05,0.00010179641087418896
3,3000,0.00012116118600800517,0.0,0.0001017989373386049,0.00014443140643908919
4,3000,0.00019661511165017362,0.0,0.00014445190946618599,0.0002811926875890796
5,3000,0.4455625517431254,0.446,0.0002813349635571668,0.999317222628906
6,3000,0.9998504565292263,1.0,0.9993172512762962,0.9999297078105293
7,3000,0.9999382158595628,1.0,0.9999297382203036,0.9999449668536551
8,3000,0.9999502140237193,1.0,0.9999449741234453,0.9999551750277393
9,3000,0.9999599634267674,1.0,0.9999551803979875,0.999964828696574
10,3000,0.9999718600080745,1.0,0.9999648400036469,0.9999902537025663
